date,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,DGS20
19931229,3.6,4.2,4.51,5.12,5.44,5.74,6.38
19931230,3.62,4.25,4.58,5.2,5.53,5.82,6.47
19931231,3.63,4.25,4.58,5.21,5.53,5.83,6.48
19940103,3.67,4.3,4.66,5.29,5.66,5.92,6.54
19940104,3.65,4.29,4.63,5.26,5.62,5.88,6.51
19940105,3.66,4.31,4.66,5.27,5.64,5.9,6.54
19940106,3.65,4.24,4.59,5.21,5.57,5.84,6.48
19940107,3.54,4.09,4.43,5.03,5.39,5.7,6.35
19940110,3.53,4.08,4.41,5.01,5.36,5.67,6.35
19940111,3.51,4.08,4.41,5,5.34,5.67,6.34
19940112,3.47,4.05,4.36,4.95,5.29,5.6,6.26
19940113,3.52,4.13,4.47,5.08,5.41,5.71,6.36
19940114,3.55,4.17,4.51,5.12,5.46,5.78,6.41
19940118,3.53,4.14,4.48,5.09,5.43,5.74,6.38
19940119,3.52,4.12,4.47,5.08,5.43,5.76,6.4
19940120,3.47,4.07,4.41,5.02,5.38,5.71,6.36
19940121,3.5,4.09,4.44,5.05,5.39,5.73,6.36
19940124,3.5,4.09,4.44,5.06,5.4,5.74,6.38
19940125,3.51,4.11,4.46,5.08,5.43,5.78,6.4
19940126,3.53,4.13,4.46,5.09,5.41,5.77,6.39
19940127,3.52,4.11,4.45,5.04,5.37,5.73,6.33
19940128,3.49,4.08,4.4,4.99,5.3,5.68,6.27
19940131,3.53,4.12,4.44,5.02,5.34,5.7,6.29
19940201,3.6,4.2,4.53,5.1,5.43,5.77,6.37
19940202,3.61,4.2,4.53,5.11,5.43,5.77,6.36
19940203,3.73,4.28,4.6,5.17,5.48,5.81,6.38
19940204,3.84,4.42,4.75,5.32,5.62,5.94,6.49
19940207,3.83,4.41,4.78,5.36,5.65,5.96,6.5
19940208,3.86,4.44,4.82,5.38,5.7,6.01,6.55
19940209,3.85,4.43,4.8,5.35,5.67,5.92,6.52
19940210,3.86,4.45,4.83,5.36,5.68,5.91,6.53
19940211,3.84,4.44,4.8,5.34,5.66,5.88,6.5
19940214,3.85,4.44,4.81,5.36,5.67,5.9,6.53
19940215,3.85,4.44,4.8,5.34,5.66,5.88,6.53
19940216,3.86,4.44,4.8,5.35,5.67,5.89,6.53
19940217,3.89,4.5,4.88,5.45,5.77,6,6.62
19940218,3.93,4.57,4.94,5.52,5.87,6.09,6.7
19940222,3.93,4.57,4.93,5.5,5.84,6.05,6.67
19940223,4.01,4.67,5.02,5.59,5.92,6.13,6.73
19940224,4.03,4.72,5.07,5.66,6.01,6.22,6.82
19940225,4.05,4.72,5.08,5.65,6,6.21,6.8
19940228,4.03,4.67,5.04,5.6,5.94,6.15,6.75
19940301,4.16,4.81,5.19,5.74,6.08,6.28,6.86
19940302,4.15,4.79,5.2,5.74,6.09,6.3,6.87
19940303,4.21,4.83,5.21,5.79,6.14,6.35,6.92
19940304,4.26,4.88,5.29,5.82,6.16,6.38,6.92
19940307,4.23,4.87,5.25,5.77,6.12,6.32,6.87
19940308,4.28,4.92,5.31,5.84,6.17,6.38,6.92
19940309,4.29,4.96,5.33,5.84,6.17,6.38,6.93
19940310,4.3,4.96,5.36,5.9,6.28,6.48,7.02
19940311,4.28,4.95,5.34,5.89,6.25,6.46,6.99
19940314,4.32,4.99,5.39,5.94,6.3,6.5,7.01
19940315,4.32,4.99,5.38,5.91,6.25,6.47,6.99
19940316,4.28,4.96,5.34,5.86,6.18,6.4,6.9
19940317,4.28,4.94,5.34,5.88,6.19,6.4,6.91
19940318,4.35,5.03,5.42,5.97,6.3,6.49,6.99
19940321,4.41,5.09,5.49,6.03,6.36,6.55,7.03
19940322,4.33,5.03,5.38,5.92,6.24,6.44,6.94
19940323,4.32,5,5.38,5.92,6.22,6.44,6.95
19940324,4.37,5.08,5.5,6.05,6.39,6.58,7.09
19940325,4.38,5.1,5.52,6.08,6.42,6.61,7.1
19940328,4.41,5.12,5.55,6.1,6.43,6.63,7.09
19940329,4.46,5.19,5.62,6.19,6.52,6.71,7.17
19940330,4.45,5.19,5.65,6.24,6.59,6.78,7.23
19940331,4.5,5.21,5.66,6.23,6.59,6.77,7.23
19940404,4.83,5.57,6.06,6.64,7.01,7.16,7.55
19940405,4.72,5.45,5.93,6.47,6.79,6.97,7.41
19940406,4.67,5.4,5.88,6.42,6.76,6.93,7.38
19940407,4.64,5.37,5.84,6.38,6.72,6.86,7.33
19940408,4.68,5.43,5.91,6.46,6.79,6.94,7.4
19940411,4.69,5.43,5.9,6.46,6.78,6.92,7.37
19940412,4.66,5.4,5.84,6.4,6.72,6.87,7.32
19940413,4.69,5.43,5.91,6.47,6.79,6.93,7.39
19940414,4.72,5.49,5.94,6.51,6.82,6.97,7.43
19940415,4.73,5.51,5.95,6.5,6.79,6.97,7.42
19940418,4.91,5.7,6.15,6.7,6.99,7.14,7.55
19940419,4.92,5.7,6.14,6.68,6.92,7.1,7.5
19940420,4.91,5.67,6.1,6.62,6.88,7.05,7.46
